product_code,product_name,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,brand_name,maker,origin,price_1,price_2,price_3,evaluation_score,comment_count
1069645523,"[쿠쿠홈시스]10인용 IH전기압력밥솥 CRP-HMF1070SB [타철명장 무쇠내솥, 엑스월 다이아몬드 코팅/ 13분대쾌속취사/ 밥물고임방지 배수로.입체보온시스템/ 에너지효율 1등급]",홈,하이마트,주방/소형가전,전기압력밥솥/전기밥솥/일반압력솥,,,,,,,쿠쿠홈시스,쿠쿠홈시스(주),대한민국,"197,000","187,150","177,790",,470
1116023251,"[남양키친플라워][요리천사 공동구매] 스텐명가 조리용품 BEST 30선(냄비,후라이팬,멀티팟 外)",홈,주방,조리기구,더키친갤러리관,명품브랜드관,냄비,내열냄비,,,,,,,,"14,900",,,109
1107570526,[에르노]파라점퍼스/에르노/CMFR/무스너클 프리미엄패딩 23종 마지막 SLAE,홈,스포츠패션/슈즈,스포츠의류,여성의류,자켓/점퍼/다운/패딩,,,,,,,,,"299,000","297,500",,,53
1130563708,[오니츠카타이거][OT]멕시코 66 스니커즈 균일 5종,홈,스포츠패션/슈즈,스포츠슈즈,남성슈즈,런닝/워킹화,,,,,,오니츠카타이거,Onitsukatige,중국/인도네시아,"69,000","66,930","63,580",,17
1114287580,[노스페이스(THE NORTH FACE)]남성용 브이엑스 맥머도 파카 - NVJ3NG50,홈,롯데백화점,아웃도어/골프/레저,남성등산복,다운/패딩재킷/점퍼,덕다운/패딩,,,,,노스페이스(THE NORTH FACE),(주)영원아웃도어,베트남,"270,000","241,780","229,690",,143
12484105,[한샘인테리어]한샘 시스템 키친 - 스칸디나비아 시즌2 4.4m,홈,TV쇼핑,가구/인테리어,,,,,,,,한샘인테리어,(주)한샘,한국,"4,149,000","3,857,640","3,664,760",,133
1092104368,[오휘/후/숨/빌리프] 베스트셀러+특별사은품,홈,롯데백화점,명품화장품,세트,스킨케어세트,스킨로션세트,,,,,,,,,"39,000",,,2902
1129637450,[밀레(MILLET)]15F/W 신상 여성 LD 몽쥬 다운자켓 ( MMKWD630 ),홈,롯데백화점,아웃도어/골프/레저,여성등산복,다운/패딩재킷/점퍼,덕다운/패딩,,,,,밀레(MILLET),(주)밀레,베트남,"130,000",,"123,500",,23
1109036238,[아이나비]X1 DASH 16GB 기본패키지(EXTREAM AR / EXTREAM 3D),홈,휴대폰/음향/차량용기기,내비게이션,아이나비(iNAVI),,,,,,,아이나비,팅크웨어,대한민국,"299,000","264,780","251,540",,12
1125742801,[케이스위스(K-SWISS)](4215HS50134) 춘추용 여성 트레이닝복세트,홈,롯데백화점,스포츠패션/슈즈,여성스포츠의류,트레이닝복,세트,,,,,케이스위스(K-SWISS),(주)화승,베트남,"48,000","40,800","38,760",,67
1117032172,[휴베딩][휴베딩] 착번극세사 차렵침구 풀세트 (S/Q/K),홈,침구/커튼/카페트,침구세트,"이불패드세트(싱글,슈퍼싱글)",10만원미만,,,,,,,,,"69,000","67,000",,,2157
