product_code,product_name,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,brand_name,maker,origin,price_1,price_2,price_3,evaluation_score,comment_count
1132656328,[앨빈클로/크루클린]알차게모았다!베스트 맨투맨/후드 外 묶음 택1,홈,캐주얼의류,티셔츠,라코스테,긴팔,라운드,,,,,,,,"16,900","15,210",,,1922
12462814,[씨티지(CITY GEE)]씨티지 라쿤스킨 워머,홈,TV쇼핑,여성의류,,,,,,,,씨티지(CITY GEE),온돌레더패션,한국,"79,000","78,000","74,100",,6594
12504015,[삼진어묵]삼진어묵 어묵고로케+간식어묵+요리어묵 세트,홈,TV쇼핑,식품/건강식품,,,,,,,,삼진어묵,삼진식품,한국,"49,900","48,900","46,450",97,1272
1132100050,[라코스테(LACOSTE)]스웨터/가디건/아우터 14종택1,홈,남성의류,니트/가디건/조끼,라코스테 전문관,빈폴 전문관,니트,카라 풀오버(full-over),,,,,,,,"67,500",,,52
1132343581,[조르쥬레쉬]경량다운/코트 택1,홈,TV쇼핑,언더웨어,,,,,,,,,,,,"29,000",,,687
12493145,[씨티지(CITY GEE)]CityGee 씨티지 알파카 혼방 폭스 베스트,홈,TV쇼핑,여성의류,,,,,,,,씨티지(CITY GEE),온돌레더패션,한국,"178,000","177,000","168,150",,2327
12490621,[테팔(TEFAL)][3만원세일]테팔 레드프로 후라이팬 5종 세트+조리도구4종,홈,TV쇼핑,주방,,,,,,,,테팔(TEFAL),테팔,프랑스,"119,000","113,000","107,350",,1635
12504402,[청정에][2016설]청정에 미시마부사4kg + 배5kg 세트,홈,TV쇼핑,식품/건강식품,,,,,,,,청정에,대신영농조합법인,한국,"43,900","42,900","40,750",96,1169
12504002,"[아가타(AGATHA)][AGATHA] 아가타 리터닝 파운데이션 (본품 9g×2, 리필 9g×3) + 아가타 립크레용 3개 + 아가타 아이크레용 3개 + 아가타 세럼 100ml",홈,TV쇼핑,화장품/이미용,,,,,,,,아가타(AGATHA),(주)코스온,한국,"79,900","78,900","74,950",,14823
12500433,판매불가 상품,,,,,,,,,,,,,,,,,,
12479601,[룰루 까스따네뜨]룰루까스타네뜨 루나 위빙 3종,홈,TV쇼핑,패션잡화,,,,,,,,룰루 까스따네뜨,진성,중국,"79,000","78,000","74,100",,1362
12491073,[천년다랑]천년다랑 보리굴비 10미+굴비볶음고추장 160g,홈,TV쇼핑,식품/건강식품,,,,,,,,천년다랑,영산해다올영어조합법인,한국,"99,000","98,000","93,100",92,1230
12475662,[돌][YELLOW]Dole 후룻 & 넛츠 80봉 + 30봉 총 110봉,홈,롯데아이몰,홈쇼핑 방송상품,,,,,,,,돌,씨앤푸드,한국,"59,900","58,900","55,950",98,10986
12495015,[동트는 농가]동트는농가 청국장 (8팩) 24인분 + 콩탕 (4팩) 12인분 + 5년 숙성 된장 450g * 1통 + 약콩고추장 450g 1통,홈,TV쇼핑,식품/건강식품,,,,,,,,동트는 농가,동트는 농가 영농조합법인,한국,"70,900","69,900","66,400",97,2935
12494115,[카시바디]카시바디 폭스콤비 렉스 베스트,홈,TV쇼핑,여성의류,,,,,,,,카시바디,신영유한회사,중국,"208,000","205,960","195,660",,1851
12503901,[다이슨(DYSON)]다이슨 DC45,홈,TV쇼핑,가전,,,,,,,,다이슨(DYSON),VS Industry for Dyson Ltd. England,말레이시아,"498,000","447,000","424,650",,553
12503064,[다니엘 에스떼]DANIEL HECHTER 다니엘 에스떼 울 캐시미어 블랜디드 슬릿 니트코트,홈,TV쇼핑,여성의류,,,,,,,,다니엘 에스떼,GS 컴퍼니,한국,"79,000","78,000","74,100",,628
12493858,[몽타규][MONTAGUT] 몽타규 알파카 혼방 니트코트,홈,TV쇼핑,여성의류,,,,,,,,몽타규,지엠글로벌마케팅,중국,"59,000","58,000","55,100",,3701
12503662,[내츄럴팜21]내추럴팜21 서귀포농협 한라봉2kg+2kg+천혜향2kg,홈,TV쇼핑,식품/건강식품,,,,,,,,내츄럴팜21,서귀포농협,한국,"45,900","44,900","42,650",94,1926
12503960,[장길영사과][2016 설]장길영 비타칼슘사과 4kg + 배 5kg 프리미엄세트,홈,TV쇼핑,식품/건강식품,,,,,,,,장길영사과,한우리영농조합법인,한국,"54,900","53,900","51,200",95,958
1122635570,[뉴발란스]뉴발란스 인기절정의 네오 클래식 패트롤 다운 3종 택일,홈,스포츠패션/슈즈,스포츠의류,남성의류,자켓/점퍼/다운/패딩,,,,,,뉴발란스,뉴발란스,베트남,"159,000","149,460","141,990",,297
12503720,[웜앤나우]웜앤나우 울블렌디드 스프링 니트코트,홈,TV쇼핑,여성의류,,,,,,,,웜앤나우,(주)한스갤러리,한국,"49,000","48,000","45,600",,1384
12497676,[메쎄(MESSE)]메쎄 리얼소가죽 슬립온부츠,홈,TV쇼핑,패션잡화,,,,,,,,메쎄(MESSE),(주)유리미디어,한국,"39,000","38,000","36,100",,702
12499644,[다니엘 에스떼]DANIEL HECHTER 다니엘에스떼 어번 트래블러 다운코트,홈,TV쇼핑,여성의류,,,,,,,,다니엘 에스떼,YINDI CLOTHING,중국,"49,000","48,000","45,600",,767
12503899,[내츄럴팜21]내추럴팜21 서귀포농협 한라봉2kg*3,홈,TV쇼핑,식품/건강식품,,,,,,,,내츄럴팜21,서귀포농협,한국,"40,900","39,900","37,900",94,942
12499899,[바레베르데][바레베르데][여성] 컴포트 방한 퍼부츠 1종,홈,TV쇼핑,스포츠레저,,,,,,,,바레베르데,(주)금강,한국,"49,000","48,000","45,600",,784
1101594009,[올리비에스클로젯]pick me pick me! 봄신상! WEEKLY 인기 아이템만 모아서!,홈,여성의류,상의류,티셔츠,기본무지티셔츠,,,,,,,,,,"7,900",,,47
1133682869,인기슈즈브랜드 역마진! 파격가 모음전! 스티브매든/나인웨스트/오브엠/라마르뜨 外,홈,,,,,,,,,,,,,,"19,000",,,6123
1132292116,[리베레츠]Os프라우덴 롱구스다운(경량),홈,트렌드패션,아우터,오가게 전문관,코트,패딩코트,,,,,리베레츠,(주)올리비에홀딩스,베트남,"45,900",,"43,600",,135
12498116,[엔비랍스터]자이언트킹 랍스터 점보1+골든2 (총 2.1kg이상) + 랍스터 크래커,홈,TV쇼핑,식품/건강식품,,,,,,,,엔비랍스터,(주) 하이넷씨푸드,캐나다,"99,900","98,900","93,950",93,2260
1091345460,싱크대 허리쿠션 코시라쿠/허리보호대/허리쿠션/물튀김방지/싱크대쿠션/키친쿠션,홈,생활용품/홈데코/리빙,매트/발판/생활잡화,친환경전문관,일본수입소품,생활용품,,,,,,알펙스사,일본,"29,200",,"27,740",,4
12496755,[다니엘 에스떼]DANIEL HECHTER 다니엘에스떼 폭스 풀스킨 콤비 롱 다운코트,홈,TV쇼핑,여성의류,,,,,,,,다니엘 에스떼,YINDI CLOTHING,중국,"158,000","157,000","149,150",,682
12502374,[천년다랑]천년다랑 특장대 영광굴비 40미+굴비볶음고추장160g,홈,TV쇼핑,식품/건강식품,,,,,,,,천년다랑,영산해다올영어조합법인,한국,"69,900","68,900","65,450",95,1228
12485791,[해피콜][NEW]해피콜 플라즈마 IH 프라이팬 세트 + IH 인덕션레인지,홈,TV쇼핑,주방,,,,,,,,해피콜,주식회사 해피콜,한국,"169,000","158,000","150,100",,2537
1122566186,[SODA] 소다外 수입화대전! 앵클부츠/퍼부츠 대전!,홈,패션슈즈,여성화,디자이너슈즈몰,부츠,롱부츠,,,,,,,,,"109,000",,,50
12502642,[르꼴레뜨(LE-COLETTE)-]le-colette 르꼴레뜨 니트 티셔츠5종 SET,홈,TV쇼핑,여성의류,,,,,,,,르꼴레뜨(LE-COLETTE)-,동아컬렉션,한국,"49,000","48,000","45,600",,1463
12497879,[쉐펠][쉐펠][남성]네오스트레치 다운점퍼,홈,TV쇼핑,스포츠레저,,,,,,,,쉐펠,이앤비 OEM,베트남,"79,000","78,000","74,100",,1854
